m1,m2,m3,m4,m5,m6
100.0,97.5,95.0,97.5,100.0,100.0
75.0,72.5,95.0,97.5,75.0,85.0
92.5,92.5,95.0,95.0,97.5,97.5
82.5,100.0,97.5,100.0,90.0,97.5
87.5,82.5,85.0,100.0,80.0,90.0
72.5,60.0,72.5,77.5,80.0,72.5
92.5,92.5,97.5,95.0,85.0,75.0
90.0,97.5,97.5,92.5,97.5,95.0
87.5,85.0,80.0,80.0,77.5,85.0
82.5,80.0,87.5,92.5,75.0,85.0
90.0,65.0,65.0,75.0,57.5,52.5
100.0,100.0,100.0,95.0,100.0,97.5
82.5,77.5,75.0,87.5,72.5,80.0
90.0,70.0,92.5,97.5,80.0,90.0
92.5,100.0,97.5,97.5,95.0,97.5
95.0,97.5,97.5,97.5,95.0,92.5
100.0,97.5,97.5,95.0,95.0,92.5
100.0,100.0,100.0,100.0,100.0,97.5
97.5,92.5,97.5,100.0,87.5,95.0
95.0,87.5,97.5,97.5,92.5,95.0
97.5,100.0,95.0,92.5,92.5,92.5
82.5,82.5,92.5,87.5,67.5,70.0
95.0,97.5,100.0,95.0,92.5,87.5
92.5,97.5,85.0,95.0,92.5,80.0
80.0,85.0,95.0,87.5,97.5,70.0
72.5,85.0,92.5,82.5,95.0,85.0
80.0,80.0,87.5,90.0,77.5,67.5
97.5,95.0,100.0,97.5,95.0,90.0
77.5,95.0,97.5,95.0,95.0,95.0
70.0,72.5,80.0,90.0,87.5,65.0
88.333,87.917,91.583,92.75,87.5,85.833
8.975,11.348,8.932,6.625,10.685,11.767
