LDA,SVML,SVMR,MLP1,MLP2,MLP3,NNET1,NNET2,NNET3
72.083,74.167,87.083,74.583,72.083,65.833,78.75,82.917,73.333
53.333,56.667,45.417,35.417,39.167,39.583,35.0,32.5,49.167
81.25,77.083,74.167,69.167,68.75,71.25,63.75,71.667,72.083
91.667,93.75,93.333,90.417,87.5,85.417,85.417,88.333,89.583
35.833,32.083,43.75,32.917,32.5,39.167,40.833,42.917,32.083
35.833,37.917,40.833,37.083,42.917,46.25,38.75,43.75,44.583
66.667,63.75,67.917,64.583,62.5,69.167,64.583,64.583,63.75
75.417,88.333,72.917,78.75,82.083,80.833,77.083,74.167,83.333
35.0,38.333,30.0,34.167,30.833,31.25,20.417,30.417,21.25
35.833,38.75,51.25,34.167,36.25,40.417,44.167,50.833,34.583
20.833,25.0,29.167,21.25,26.25,24.583,32.083,28.333,26.667
73.75,65.0,66.667,45.417,59.583,46.25,66.25,50.833,69.167
16.25,17.917,15.417,18.333,23.333,21.667,20.833,20.0,20.833
24.583,28.75,34.167,27.5,17.083,28.75,32.917,34.583,25.417
82.083,81.667,82.083,78.333,73.333,82.083,78.333,74.583,69.167
39.583,38.333,41.25,41.667,47.917,50.417,50.0,46.25,47.083
91.25,88.75,84.167,77.083,73.75,67.5,70.417,68.75,73.333
69.583,78.333,85.0,77.5,84.583,84.167,82.917,75.0,78.333
76.25,75.0,73.333,67.083,62.917,65.833,58.75,60.417,62.5
81.25,82.083,82.5,75.0,80.0,77.917,76.25,75.833,74.583
65.0,62.917,67.083,60.417,66.25,61.667,62.5,67.5,60.833
28.333,30.0,31.25,29.167,29.583,33.75,33.333,31.667,27.083
67.917,63.333,60.833,60.0,67.5,63.75,62.917,60.417,57.5
83.75,85.0,87.917,80.417,77.5,78.75,75.0,76.25,77.5
39.583,29.167,40.833,23.333,30.0,34.583,34.583,29.167,32.5
36.667,27.083,27.083,30.0,26.667,25.0,18.333,24.167,28.333
45.0,40.417,48.75,46.667,57.083,55.417,44.167,53.333,45.417
45.833,47.917,48.75,48.333,46.25,50.833,50.417,45.417,49.583
43.333,49.583,52.5,40.0,37.5,36.667,43.333,42.083,40.417
43.75,49.167,42.5,46.25,50.833,43.75,46.25,37.917,45.0
